"x_name","z_value","z_name","z_level","beta","lb","ub","p_int","ci width"
"Arsenic",NA,"All",NA,0.1688,-0.3768,0.7145,NA,1.0913
"Cadmium",NA,"All",NA,0.224,-0.27,0.7179,NA,0.9879
"Lead",NA,"All",NA,0.9228,0.2005,1.6451,NA,1.4447
"Mercury",NA,"All",NA,-0.0763,-0.4162,0.2636,NA,0.6798
"β-HCH",NA,"All",NA,0.3786,0.0341,0.7231,NA,0.6891
"DDE",NA,"All",NA,0.3357,-0.145,0.8165,NA,0.9615
"Oxychlordane",NA,"All",NA,-0.0421,-0.7285,0.6444,NA,1.3729
"trans-Nonachlor",NA,"All",NA,-0.2913,-1.0296,0.447,NA,1.4766
"PFHxS",NA,"All",NA,-0.0472,-0.4689,0.3746,NA,0.8435
"PFOS",NA,"All",NA,-0.4325,-1.0563,0.1912,NA,1.2475
"PFOA",NA,"All",NA,-0.5934,-1.2139,0.0272,NA,1.241
"PCB118",NA,"All",NA,0.3384,-0.252,0.9288,NA,1.1808
"PCB138",NA,"All",NA,0.6742,0.1249,1.2235,NA,1.0986
"PCB153",NA,"All",NA,0.5409,0.0042,1.0775,NA,1.0733
"PCB180",NA,"All",NA,0.3963,-0.091,0.8836,NA,0.9746
"BDE47",NA,"All",NA,0.2589,-0.0672,0.585,NA,0.6521
"Arsenic",NA,"fol.intake3","400-1000",-0.3802,-1.0636,0.3032,NA,1.3668
"Arsenic",NA,"fol.intake3","<400",-0.4083,-2.4289,1.6122,0.979,4.0411
"Arsenic",NA,"fol.intake3",">1000",1.1964,0.2984,2.0945,0.0035,1.7961
"Cadmium",NA,"fol.intake3","400-1000",-0.0011,-0.6106,0.6084,NA,1.2189
"Cadmium",NA,"fol.intake3","<400",-0.3317,-2.119,1.4556,0.7201,3.5746
"Cadmium",NA,"fol.intake3",">1000",0.7286,-0.0659,1.5231,0.1198,1.589
"Lead",NA,"fol.intake3","400-1000",0.3422,-0.511,1.1954,NA,1.7063
"Lead",NA,"fol.intake3","<400",2.2526,-0.5917,5.097,0.2004,5.6887
"Lead",NA,"fol.intake3",">1000",2.16,0.7922,3.5278,0.0218,2.7356
"Mercury",NA,"fol.intake3","400-1000",-0.3805,-0.7861,0.0251,NA,0.8112
"Mercury",NA,"fol.intake3","<400",-0.133,-1.1638,0.8978,0.6562,2.0617
"Mercury",NA,"fol.intake3",">1000",0.7518,0.1144,1.3892,0.0021,1.2749
"β-HCH",NA,"fol.intake3","400-1000",0.0269,-0.4248,0.4785,NA,0.9033
"β-HCH",NA,"fol.intake3","<400",0.3182,-0.7674,1.4038,0.6111,2.1712
"β-HCH",NA,"fol.intake3",">1000",0.9233,0.3279,1.5187,0.0085,1.1908
"DDE",NA,"fol.intake3","400-1000",-0.0546,-0.6205,0.5114,NA,1.1319
"DDE",NA,"fol.intake3","<400",2.1338,0.4686,3.7991,0.0125,3.3305
"DDE",NA,"fol.intake3",">1000",0.8187,-0.1053,1.7428,0.0748,1.8481
"Oxychlordane",NA,"fol.intake3","400-1000",-0.3623,-1.1995,0.4749,NA,1.6745
"Oxychlordane",NA,"fol.intake3","<400",0.7301,-1.7437,3.204,0.3925,4.9477
"Oxychlordane",NA,"fol.intake3",">1000",0.486,-0.7188,1.6907,0.2058,2.4095
"trans-Nonachlor",NA,"fol.intake3","400-1000",-0.3765,-1.2987,0.5456,NA,1.8443
"trans-Nonachlor",NA,"fol.intake3","<400",0.7204,-1.4649,2.9058,0.3166,4.3707
"trans-Nonachlor",NA,"fol.intake3",">1000",-0.3425,-1.6821,0.9971,0.9596,2.6792
"PFHxS",NA,"fol.intake3","400-1000",-0.2381,-0.7245,0.2483,NA,0.9728
"PFHxS",NA,"fol.intake3","<400",0.5198,-1.6378,2.6774,0.4939,4.3151
"PFHxS",NA,"fol.intake3",">1000",0.4216,-0.3613,1.2046,0.1419,1.5659
"PFOS",NA,"fol.intake3","400-1000",-1.0088,-1.7394,-0.2782,NA,1.4612
"PFOS",NA,"fol.intake3","<400",3.3213,0.8021,5.8404,0.0011,5.0382
"PFOS",NA,"fol.intake3",">1000",0.2535,-0.9414,1.4484,0.0665,2.3898
"PFOA",NA,"fol.intake3","400-1000",-0.7889,-1.5027,-0.0751,NA,1.4277
"PFOA",NA,"fol.intake3","<400",-0.3592,-2.884,2.1655,0.7386,5.0495
"PFOA",NA,"fol.intake3",">1000",-0.1329,-1.2276,0.9618,0.2774,2.1894
"PCB118",NA,"fol.intake3","400-1000",-0.303,-1.0233,0.4174,NA,1.4407
"PCB118",NA,"fol.intake3","<400",1.4647,-0.3008,3.2302,0.0632,3.531
"PCB118",NA,"fol.intake3",">1000",1.4969,0.3574,2.6363,0.006,2.2788
"PCB138",NA,"fol.intake3","400-1000",0.147,-0.5052,0.7991,NA,1.3042
"PCB138",NA,"fol.intake3","<400",2.2144,0.4782,3.9505,0.0256,3.4723
