"mixture_name","mix_name","mean_weight_pos","mean_weight_neg"
"Metals","arsenic.t1.res",0.0206310660635374,0.293008805845796
"Metals","cadmium.t1.res",0.842193458656401,0.0434380194498139
"Metals","lead.t1.res",0.130648689250999,0.175371136560867
"Metals","mercury.t1.res",0.00652678602906227,0.488182038143523
"OC Pesticides","bbhc.t1.res",0.22889578262538,0.37562094457652
"OC Pesticides","dde.t1.res",0.255332200164946,0.232840500778517
"OC Pesticides","oxychlor.t1.res",0.203084555516008,0.265549634596455
"OC Pesticides","transnona.t1.res",0.312687461693666,0.125988920048508
"PFAS","pfhxs.t1.res",0.932916246810055,0.00395954043556042
"PFAS","pfos.t1.res",0.00369443668611142,0.787643787918645
"PFAS","pfoa.t1.res",0.0633893165038332,0.208396671645795
"PCBs","pcb118.t1.res",0.156902640009991,0.501220228721523
"PCBs","pcb138.t1.res",0.0268165477392356,0.269452436877525
"PCBs","pcb153.t1.res",0.453320440274674,0.0306728594665852
"PCBs","pcb180.t1.res",0.362960371976099,0.198654474934367
"All POPs","bbhc.t1.res",0.0199377613334429,0.18615587428062
"All POPs","dde.t1.res",0.0171816817889426,0.0976361832347282
"All POPs","oxychlor.t1.res",0.01842401278117,0.0877147185250655
"All POPs","transnona.t1.res",0.0198456173170024,0.0378527417554593
"All POPs","pfhxs.t1.res",0.353685773533385,0.00120311591355068
"All POPs","pfos.t1.res",0.00189557561221023,0.230446811997047
"All POPs","pfoa.t1.res",0.0235269187340016,0.0844479174656348
"All POPs","pcb118.t1.res",0.0132457007319664,0.130442635059072
"All POPs","pcb138.t1.res",0.00183212971168413,0.0470910337683958
"All POPs","pcb153.t1.res",0.0447984735207782,0.005238575763994
"All POPs","pcb180.t1.res",0.0590239473715761,0.086018922934362
"All POPs","bde47.t1.res",0.42660240756384,0.00575146930207063
