"mixture_name","psi","lb","ub","p_int","mod_var","mod_level"
"Metals",-0.55,-1.43,0.33,NA,"fol.intake3","400-1000"
"Metals",-0.32,-2.68,2.04,0.854,"fol.intake3","<400"
"Metals",1.69,0.13,3.26,0.009,"fol.intake3",">1000"
"OC Pesticides",-0.51,-1.26,0.24,NA,"fol.intake3","400-1000"
"OC Pesticides",0.43,-1.84,2.7,0.418,"fol.intake3","<400"
"OC Pesticides",0.34,-0.95,1.62,0.208,"fol.intake3",">1000"
"PFAS",-0.91,-1.58,-0.24,NA,"fol.intake3","400-1000"
"PFAS",0.38,-1.86,2.62,0.267,"fol.intake3","<400"
"PFAS",-0.24,-1.34,0.86,0.275,"fol.intake3",">1000"
"PCBs",-0.2,-0.86,0.45,NA,"fol.intake3","400-1000"
"PCBs",1.15,-0.74,3.04,0.171,"fol.intake3","<400"
"PCBs",0.33,-0.68,1.35,0.346,"fol.intake3",">1000"
"All POPs",-0.97,-2.04,0.11,NA,"fol.intake3","400-1000"
"All POPs",2.07,-2.2,6.34,0.16,"fol.intake3","<400"
"All POPs",-0.05,-2.07,1.97,0.411,"fol.intake3",">1000"
"Metals",-0.32,-1.21,0.56,NA,"pl_fol3.t1","10th-80th %ile"
"Metals",-0.7,-3.21,1.82,0.769,"pl_fol3.t1","<10th %ile"
"Metals",1.12,-0.33,2.57,0.076,"pl_fol3.t1",">80th %ile"
"OC Pesticides",-0.3,-1.04,0.44,NA,"pl_fol3.t1","10th-80th %ile"
"OC Pesticides",-0.02,-1.94,1.89,0.773,"pl_fol3.t1","<10th %ile"
"OC Pesticides",0.22,-1.08,1.52,0.446,"pl_fol3.t1",">80th %ile"
"PFAS",-0.52,-1.19,0.15,NA,"pl_fol3.t1","10th-80th %ile"
"PFAS",-0.98,-2.8,0.83,0.607,"pl_fol3.t1","<10th %ile"
"PFAS",-1.3,-2.56,-0.05,0.239,"pl_fol3.t1",">80th %ile"
"PCBs",0,-0.65,0.64,NA,"pl_fol3.t1","10th-80th %ile"
"PCBs",0.36,-1.43,2.15,0.678,"pl_fol3.t1","<10th %ile"
"PCBs",0.1,-1.03,1.22,0.868,"pl_fol3.t1",">80th %ile"
"All POPs",-0.46,-1.59,0.66,NA,"pl_fol3.t1","10th-80th %ile"
"All POPs",0.25,-2.37,2.88,0.587,"pl_fol3.t1","<10th %ile"
"All POPs",-1.55,-3.95,0.86,0.368,"pl_fol3.t1",">80th %ile"
