"mixture_name","name","weight","mod_var_name","mod_level","imputation_number"
"Metals","arsenic.t1.res",0.451586922978984,"fol.intake3",1,1
"Metals","cadmium.t1.res",-0.547487232012643,"fol.intake3",1,1
"Metals","lead.t1.res",0.548413077021016,"fol.intake3",1,1
"Metals","mercury.t1.res",-0.452512767987357,"fol.intake3",1,1
"Metals","arsenic.t1.res",-0.312779407520205,"fol.intake3",2,1
"Metals","cadmium.t1.res",0.186357725295191,"fol.intake3",2,1
"Metals","lead.t1.res",0.813642274704809,"fol.intake3",2,1
"Metals","mercury.t1.res",-0.687220592479795,"fol.intake3",2,1
"Metals","arsenic.t1.res",0.112786295269156,"fol.intake3",3,1
"Metals","cadmium.t1.res",0.306875499564074,"fol.intake3",3,1
"Metals","lead.t1.res",0.202137881638025,"fol.intake3",3,1
"Metals","mercury.t1.res",0.378200323528746,"fol.intake3",3,1
"Metals","arsenic.t1.res",0.411588570411219,"fol.intake3",1,2
"Metals","cadmium.t1.res",-0.564368254175221,"fol.intake3",1,2
"Metals","lead.t1.res",0.588411429588781,"fol.intake3",1,2
"Metals","mercury.t1.res",-0.435631745824779,"fol.intake3",1,2
"Metals","arsenic.t1.res",-0.20143792213426,"fol.intake3",2,2
"Metals","cadmium.t1.res",0.395278934714306,"fol.intake3",2,2
"Metals","lead.t1.res",0.604721065285694,"fol.intake3",2,2
"Metals","mercury.t1.res",-0.79856207786574,"fol.intake3",2,2
"Metals","arsenic.t1.res",0.111208060672946,"fol.intake3",3,2
"Metals","cadmium.t1.res",0.319931069464988,"fol.intake3",3,2
"Metals","lead.t1.res",0.0911687667431893,"fol.intake3",3,2
"Metals","mercury.t1.res",0.477692103118877,"fol.intake3",3,2
"Metals","arsenic.t1.res",0.392571650829753,"fol.intake3",1,3
"Metals","cadmium.t1.res",-0.562389822286489,"fol.intake3",1,3
"Metals","lead.t1.res",0.607428349170247,"fol.intake3",1,3
"Metals","mercury.t1.res",-0.437610177713511,"fol.intake3",1,3
"Metals","arsenic.t1.res",-0.216636094588412,"fol.intake3",2,3
"Metals","cadmium.t1.res",0.0578208174650705,"fol.intake3",2,3
"Metals","lead.t1.res",0.94217918253493,"fol.intake3",2,3
"Metals","mercury.t1.res",-0.783363905411588,"fol.intake3",2,3
"Metals","arsenic.t1.res",0.182762436202806,"fol.intake3",3,3
"Metals","cadmium.t1.res",0.295827422060659,"fol.intake3",3,3
"Metals","lead.t1.res",0.157769670980991,"fol.intake3",3,3
"Metals","mercury.t1.res",0.363640470755544,"fol.intake3",3,3
"Metals","arsenic.t1.res",0.43227060012701,"fol.intake3",1,4
"Metals","cadmium.t1.res",-0.572756803851079,"fol.intake3",1,4
"Metals","lead.t1.res",0.567729399872991,"fol.intake3",1,4
"Metals","mercury.t1.res",-0.427243196148921,"fol.intake3",1,4
"Metals","arsenic.t1.res",-0.215670301400638,"fol.intake3",2,4
"Metals","cadmium.t1.res",0.0670218065835333,"fol.intake3",2,4
"Metals","lead.t1.res",0.932978193416467,"fol.intake3",2,4
"Metals","mercury.t1.res",-0.784329698599362,"fol.intake3",2,4
"Metals","arsenic.t1.res",0.184282048317495,"fol.intake3",3,4
"Metals","cadmium.t1.res",0.309818632347809,"fol.intake3",3,4
"Metals","lead.t1.res",0.103938969572028,"fol.intake3",3,4
"Metals","mercury.t1.res",0.401960349762668,"fol.intake3",3,4
"Metals","arsenic.t1.res",0.412740652464663,"fol.intake3",1,5
"Metals","cadmium.t1.res",-0.538966564165521,"fol.intake3",1,5
"Metals","lead.t1.res",0.587259347535337,"fol.intake3",1,5
"Metals","mercury.t1.res",-0.461033435834479,"fol.intake3",1,5
"Metals","arsenic.t1.res",-0.228902422008139,"fol.intake3",2,5
"Metals","cadmium.t1.res",0.0730432708890245,"fol.intake3",2,5
"Metals","lead.t1.res",0.926956729110975,"fol.intake3",2,5
"Metals","mercury.t1.res",-0.771097577991861,"fol.intake3",2,5
"Metals","arsenic.t1.res",0.217903321782396,"fol.intake3",3,5
"Metals","cadmium.t1.res",0.300601459048592,"fol.intake3",3,5
"Metals","lead.t1.res",0.0842123587813494,"fol.intake3",3,5
"Metals","mercury.t1.res",0.397282860387663,"fol.intake3",3,5
"Metals","arsenic.t1.res",0.427848683817357,"fol.intake3",1,6
"Metals","cadmium.t1.res",-0.549119964087946,"fol.intake3",1,6
"Metals","lead.t1.res",0.572151316182643,"fol.intake3",1,6
"Metals","mercury.t1.res",-0.450880035912054,"fol.intake3",1,6
"Metals","arsenic.t1.res",-0.309969898704492,"fol.intake3",2,6
"Metals","cadmium.t1.res",0.0445771006961891,"fol.intake3",2,6
"Metals","lead.t1.res",0.955422899303811,"fol.intake3",2,6
"Metals","mercury.t1.res",-0.690030101295508,"fol.intake3",2,6
"Metals","arsenic.t1.res",0.14420461760565,"fol.intake3",3,6
"Metals","cadmium.t1.res",0.306875441972533,"fol.intake3",3,6
"Metals","lead.t1.res",0.14483922931904,"fol.intake3",3,6
"Metals","mercury.t1.res",0.404080711102777,"fol.intake3",3,6
"Metals","arsenic.t1.res",0.372609748251176,"fol.intake3",1,7
"Metals","cadmium.t1.res",-0.580478391791625,"fol.intake3",1,7
"Metals","lead.t1.res",0.627390251748824,"fol.intake3",1,7
"Metals","mercury.t1.res",-0.419521608208375,"fol.intake3",1,7
"Metals","arsenic.t1.res",-0.284046042179798,"fol.intake3",2,7
"Metals","cadmium.t1.res",-0.0519160750162004,"fol.intake3",2,7
"Metals","lead.t1.res",1,"fol.intake3",2,7
"Metals","mercury.t1.res",-0.664037882804002,"fol.intake3",2,7
"Metals","arsenic.t1.res",0.144122197440374,"fol.intake3",3,7
"Metals","cadmium.t1.res",0.3139877325684,"fol.intake3",3,7
"Metals","lead.t1.res",0.130727455841741,"fol.intake3",3,7
"Metals","mercury.t1.res",0.411162614149485,"fol.intake3",3,7
"Metals","arsenic.t1.res",0.37887532702288,"fol.intake3",1,8
"Metals","cadmium.t1.res",-0.548442687193736,"fol.intake3",1,8
"Metals","lead.t1.res",0.62112467297712,"fol.intake3",1,8
"Metals","mercury.t1.res",-0.451557312806264,"fol.intake3",1,8
"Metals","arsenic.t1.res",-0.320456062553052,"fol.intake3",2,8
"Metals","cadmium.t1.res",0.0693821285904856,"fol.intake3",2,8
"Metals","lead.t1.res",0.930617871409514,"fol.intake3",2,8
"Metals","mercury.t1.res",-0.679543937446948,"fol.intake3",2,8
"Metals","arsenic.t1.res",0.160826695322723,"fol.intake3",3,8
"Metals","cadmium.t1.res",0.300448160948318,"fol.intake3",3,8
"Metals","lead.t1.res",0.0885516757519392,"fol.intake3",3,8
"Metals","mercury.t1.res",0.45017346797702,"fol.intake3",3,8
"Metals","arsenic.t1.res",0.439104344433474,"fol.intake3",1,9
"Metals","cadmium.t1.res",-0.538845565672019,"fol.intake3",1,9
"Metals","lead.t1.res",0.560895655566526,"fol.intake3",1,9
"Metals","mercury.t1.res",-0.461154434327981,"fol.intake3",1,9
"Metals","arsenic.t1.res",-0.223640803500334,"fol.intake3",2,9
"Metals","cadmium.t1.res",-0.0552238919196181,"fol.intake3",2,9
"Metals","lead.t1.res",1,"fol.intake3",2,9
"Metals","mercury.t1.res",-0.721135304580048,"fol.intake3",2,9
"Metals","arsenic.t1.res",0.120478610234315,"fol.intake3",3,9
"Metals","cadmium.t1.res",0.313014384785111,"fol.intake3",3,9
"Metals","lead.t1.res",0.124288802563401,"fol.intake3",3,9
"Metals","mercury.t1.res",0.442218202417173,"fol.intake3",3,9
"Metals","arsenic.t1.res",0.400851708767068,"fol.intake3",1,10
"Metals","cadmium.t1.res",-0.563744261837391,"fol.intake3",1,10
"Metals","lead.t1.res",0.599148291232932,"fol.intake3",1,10
"Metals","mercury.t1.res",-0.436255738162609,"fol.intake3",1,10
"Metals","arsenic.t1.res",-0.243646402229786,"fol.intake3",2,10
"Metals","cadmium.t1.res",-0.0268135195438168,"fol.intake3",2,10
"Metals","lead.t1.res",1,"fol.intake3",2,10
"Metals","mercury.t1.res",-0.729540078226397,"fol.intake3",2,10
"Metals","arsenic.t1.res",0.210087872876124,"fol.intake3",3,10
"Metals","cadmium.t1.res",0.31399335488068,"fol.intake3",3,10
"Metals","lead.t1.res",0.104731402797191,"fol.intake3",3,10
"Metals","mercury.t1.res",0.371187369446004,"fol.intake3",3,10
"OC Pesticides","bbhc.t1.res",-0.0880848800314031,"fol.intake3",1,1
"OC Pesticides","dde.t1.res",0.781768561457886,"fol.intake3",1,1
"OC Pesticides","oxychlor.t1.res",0.218231438542114,"fol.intake3",1,1
"OC Pesticides","transnona.t1.res",-0.911915119968597,"fol.intake3",1,1
"OC Pesticides","bbhc.t1.res",-0.53993494271854,"fol.intake3",2,1
"OC Pesticides","dde.t1.res",1,"fol.intake3",2,1
"OC Pesticides","oxychlor.t1.res",-0.235735624610952,"fol.intake3",2,1
"OC Pesticides","transnona.t1.res",-0.224329432670508,"fol.intake3",2,1
"OC Pesticides","bbhc.t1.res",0.00942209693791686,"fol.intake3",3,1
"OC Pesticides","dde.t1.res",0.120467088755117,"fol.intake3",3,1
"OC Pesticides","oxychlor.t1.res",-1,"fol.intake3",3,1
"OC Pesticides","transnona.t1.res",0.870110814306966,"fol.intake3",3,1
"OC Pesticides","bbhc.t1.res",-0.054365793808795,"fol.intake3",1,2
"OC Pesticides","dde.t1.res",0.761774418572771,"fol.intake3",1,2
"OC Pesticides","oxychlor.t1.res",0.238225581427229,"fol.intake3",1,2
"OC Pesticides","transnona.t1.res",-0.945634206191205,"fol.intake3",1,2
"OC Pesticides","bbhc.t1.res",-0.246456358936006,"fol.intake3",2,2
"OC Pesticides","dde.t1.res",1,"fol.intake3",2,2
"OC Pesticides","oxychlor.t1.res",-0.654809101088058,"fol.intake3",2,2
"OC Pesticides","transnona.t1.res",-0.0987345399759357,"fol.intake3",2,2
